Species,Treatment,Concentration,Day,FlaskID,ReadingID,RFU
T_weissflogii,Al,0,0,1,1,67.89
T_weissflogii,Al,0,0,1,2,67.32
T_weissflogii,Al,0,0,1,3,69.44
T_weissflogii,Al,0,0,2,1,67.63
T_weissflogii,Al,0,0,2,2,64.91
T_weissflogii,Al,0,0,2,3,66.29
T_weissflogii,Al,0,0,3,1,57.69
T_weissflogii,Al,0,0,3,2,56.97
T_weissflogii,Al,0,0,3,3,58.13
T_weissflogii,Al,0.1,0,1,1,100.79
T_weissflogii,Al,0.1,0,1,2,89.24
T_weissflogii,Al,0.1,0,1,3,87.34
T_weissflogii,Al,0.1,0,2,1,98.04
T_weissflogii,Al,0.1,0,2,2,83.68
T_weissflogii,Al,0.1,0,2,3,81.94
T_weissflogii,Al,0.1,0,3,1,89.27
T_weissflogii,Al,0.1,0,3,2,74.57
T_weissflogii,Al,0.1,0,3,3,69.79
T_weissflogii,Al,1,0,1,1,76.46
T_weissflogii,Al,1,0,1,2,70.01
T_weissflogii,Al,1,0,1,3,69.75
T_weissflogii,Al,1,0,2,1,84.63
T_weissflogii,Al,1,0,2,2,77.5
T_weissflogii,Al,1,0,2,3,76.95
T_weissflogii,Al,1,0,3,1,74.85
T_weissflogii,Al,1,0,3,2,79.14
T_weissflogii,Al,1,0,3,3,80.1
T_weissflogii,Al,0,1,1,1,360.5
T_weissflogii,Al,0,1,1,2,324.82
T_weissflogii,Al,0,1,1,3,315.43
T_weissflogii,Al,0,1,2,1,374.78
T_weissflogii,Al,0,1,2,2,339.98
T_weissflogii,Al,0,1,2,3,318.83
T_weissflogii,Al,0,1,3,1,327.27
T_weissflogii,Al,0,1,3,2,304.19
T_weissflogii,Al,0,1,3,3,295.63
T_weissflogii,Al,0.1,1,1,1,387.22
T_weissflogii,Al,0.1,1,1,2,351.72
T_weissflogii,Al,0.1,1,1,3,319.43
T_weissflogii,Al,0.1,1,2,1,351.68
T_weissflogii,Al,0.1,1,2,2,323.78
T_weissflogii,Al,0.1,1,2,3,305.3
T_weissflogii,Al,0.1,1,3,1,337.08
T_weissflogii,Al,0.1,1,3,2,323.72
T_weissflogii,Al,0.1,1,3,3,315.81
T_weissflogii,Al,1,1,1,1,191.53
T_weissflogii,Al,1,1,1,2,159.51
T_weissflogii,Al,1,1,1,3,153.01
T_weissflogii,Al,1,1,2,1,208.97
T_weissflogii,Al,1,1,2,2,177.02
T_weissflogii,Al,1,1,2,3,177.07
T_weissflogii,Al,1,1,3,1,196.23
T_weissflogii,Al,1,1,3,2,166.09
T_weissflogii,Al,1,1,3,3,169.64
T_weissflogii,Al,0,2,1,1,1128.14
T_weissflogii,Al,0,2,1,2,1090.76
T_weissflogii,Al,0,2,1,3,1064.92
T_weissflogii,Al,0,2,2,1,1235.91
T_weissflogii,Al,0,2,2,2,1184.02
T_weissflogii,Al,0,2,2,3,1122.3
T_weissflogii,Al,0,2,3,1,1236.8
T_weissflogii,Al,0,2,3,2,1172.47
T_weissflogii,Al,0,2,3,3,1128.92
T_weissflogii,Al,0.1,2,1,1,1319.13
T_weissflogii,Al,0.1,2,1,2,1222.14
T_weissflogii,Al,0.1,2,1,3,1174.94
T_weissflogii,Al,0.1,2,2,1,1364.4
T_weissflogii,Al,0.1,2,2,2,1261.46
T_weissflogii,Al,0.1,2,2,3,1202.75
T_weissflogii,Al,0.1,2,3,1,1351.23
T_weissflogii,Al,0.1,2,3,2,1293.44
T_weissflogii,Al,0.1,2,3,3,1271.88
T_weissflogii,Al,1,2,1,1,692.14
T_weissflogii,Al,1,2,1,2,665.52
T_weissflogii,Al,1,2,1,3,621.79
T_weissflogii,Al,1,2,2,1,807.14
T_weissflogii,Al,1,2,2,2,756.38
T_weissflogii,Al,1,2,2,3,713.79
T_weissflogii,Al,1,2,3,1,647.86
T_weissflogii,Al,1,2,3,2,575.81
T_weissflogii,Al,1,2,3,3,544.59
T_weissflogii,Al,0,3,1,1,2740.56
T_weissflogii,Al,0,3,1,2,2636.22
T_weissflogii,Al,0,3,1,3,2548
T_weissflogii,Al,0,3,2,1,3063.04
T_weissflogii,Al,0,3,2,2,2934.52
T_weissflogii,Al,0,3,2,3,2821.85
T_weissflogii,Al,0,3,3,1,3150.71
