Species,CellID,PointID,Treatment,Concentration,Si_mol,O_mol,Zn_mol,Al_mol,P_mol
T_weissflogii,1,1,control,0,14.48,83.94,nd,1.58,NA
T_weissflogii,1,2,control,0,23.39,75.78,nd,0.83,NA
T_weissflogii,1,3,control,0,24.14,73.78,nd,2.08,NA
T_weissflogii,1,4,control,0,17.3,81.55,nd,1.15,NA
T_weissflogii,1,5,control,0,16.66,82.34,nd,0.99,NA
T_weissflogii,2,1,control,0,20.89,77.7,nd,1.41,NA
T_weissflogii,2,2,control,0,18.91,77.15,nd,3.94,NA
T_weissflogii,2,3,control,0,22.95,74.74,nd,2.3,NA
T_weissflogii,2,4,control,0,19,80.42,nd,0.59,NA
T_weissflogii,2,5,control,0,21.61,76.04,nd,2.35,NA
T_weissflogii,3,1,control,0,28.6,70.31,nd,1.09,NA
T_weissflogii,3,2,control,0,19.27,79.6,nd,1.13,NA
T_weissflogii,3,3,control,0,18.25,81.75,nd,nd,NA
T_weissflogii,3,4,control,0,18.8,77.03,nd,4.17,NA
T_weissflogii,3,5,control,0,21.22,78.78,nd,nd,NA
T_weissflogii,4,1,control,0,11.37,88.63,nd,nd,NA
T_weissflogii,4,2,control,0,27.72,70.78,nd,1.49,NA
T_weissflogii,4,3,control,0,33.24,66.76,nd,nd,NA
T_weissflogii,4,4,control,0,19.96,79.55,nd,0.49,NA
T_weissflogii,4,5,control,0,21.26,78.07,nd,0.67,NA
T_weissflogii,5,1,control,0,25.33,72.84,nd,1.83,NA
T_weissflogii,5,2,control,0,24.04,75.96,nd,nd,NA
T_weissflogii,5,3,control,0,17.94,79.49,nd,2.56,NA
T_weissflogii,5,4,control,0,15.26,82.46,nd,2.28,NA
T_weissflogii,5,5,control,0,22.81,77.19,nd,nd,NA
T_weissflogii,1,1,Al,0.1,23.95,73.07,nd,2.98,NA
T_weissflogii,1,2,Al,0.1,24.38,74.76,nd,0.85,NA
T_weissflogii,1,3,Al,0.1,28.31,71,nd,0.69,NA
T_weissflogii,1,4,Al,0.1,16.92,83.08,nd,nd,NA
T_weissflogii,1,5,Al,0.1,24.04,73.76,nd,2.2,NA
T_weissflogii,2,1,Al,0.1,17.28,80.11,nd,2.61,NA
T_weissflogii,2,2,Al,0.1,16.55,82.53,nd,0.92,NA
T_weissflogii,2,3,Al,0.1,15.36,82.56,nd,2.08,NA
T_weissflogii,2,4,Al,0.1,18.37,80.01,nd,1.62,NA
T_weissflogii,2,5,Al,0.1,12.19,85.54,nd,2.27,NA
T_weissflogii,3,1,Al,0.1,24.85,74.54,nd,0.6,NA
T_weissflogii,3,2,Al,0.1,28.76,70.25,nd,0.99,NA
T_weissflogii,3,3,Al,0.1,21.36,77.87,nd,0.78,NA
T_weissflogii,3,4,Al,0.1,29.83,69.63,nd,0.55,NA
T_weissflogii,3,5,Al,0.1,19.15,80.85,nd,nd,NA
T_weissflogii,4,1,Al,0.1,18.48,80.06,nd,1.46,NA
T_weissflogii,4,2,Al,0.1,18.25,80.64,nd,1.1,NA
T_weissflogii,4,3,Al,0.1,17.63,81.06,nd,1.31,NA
T_weissflogii,4,4,Al,0.1,15.79,83.65,nd,0.56,NA
T_weissflogii,4,5,Al,0.1,15.7,83.04,nd,1.25,NA
T_weissflogii,5,1,Al,0.1,23.65,75.1,nd,1.25,NA
T_weissflogii,5,2,Al,0.1,19.81,76.75,nd,3.44,NA
T_weissflogii,5,3,Al,0.1,19.85,79.42,nd,0.73,NA
T_weissflogii,5,4,Al,0.1,17.83,77.71,nd,4.45,NA
T_weissflogii,5,5,Al,0.1,16.7,81.95,nd,1.35,NA
T_weissflogii,1,1,Al,1,31.64,65.37,nd,2.98,NA
T_weissflogii,1,2,Al,1,31.41,65.75,nd,2.85,NA
T_weissflogii,1,3,Al,1,31.29,66.05,nd,2.66,NA
T_weissflogii,1,4,Al,1,35.1,61.34,nd,3.56,NA
T_weissflogii,1,5,Al,1,34.53,62.87,nd,2.6,NA
T_weissflogii,2,1,Al,1,39.7,56.88,nd,3.42,NA
T_weissflogii,2,2,Al,1,37.19,57.9,nd,4.92,NA
T_weissflogii,2,3,Al,1,39.99,56.86,nd,3.15,NA
T_weissflogii,2,4,Al,1,38.37,56.07,nd,5.57,NA
T_weissflogii,2,5,Al,1,43.24,54.87,nd,1.89,NA
T_weissflogii,3,1,Al,1,34.7,64.16,nd,1.14,NA
T_weissflogii,3,2,Al,1,34.21,63.58,nd,2.21,NA
T_weissflogii,3,3,Al,1,34.11,65.28,nd,0.61,NA
T_weissflogii,3,4,Al,1,29.84,67.55,nd,2.61,NA
T_weissflogii,3,5,Al,1,32.01,66.91,nd,1.08,NA
T_weissflogii,4,1,Al,1,25.94,72.4,nd,1.66,NA
T_weissflogii,4,2,Al,1,29.99,69.66,nd,0.34,NA
T_weissflogii,4,3,Al,1,25.72,73.54,nd,0.74,NA
T_weissflogii,4,4,Al,1,29.86,69.28,nd,0.86,NA
T_weissflogii,4,5,Al,1,27.88,72.12,nd,nd,NA
T_weissflogii,5,1,Al,1,28.28,70.2,nd,1.52,NA
T_weissflogii,5,2,Al,1,30.59,68.56,nd,0.85,NA
T_weissflogii,5,3,Al,1,21.25,78.75,nd,nd,NA
T_weissflogii,5,4,Al,1,33.86,64.64,nd,1.5,NA
T_weissflogii,5,5,Al,1,29.59,69.98,nd,0.43,NA
T_weissflogii,1,1,Zn,8,43.67,56.33,nd,nd,NA
T_weissflogii,1,2,Zn,8,42.1,57.08,0.83,nd,NA
T_weissflogii,1,3,Zn,8,40.54,59.41,nd,0.05,NA
T_weissflogii,1,4,Zn,8,36.13,60.65,2.93,0.29,NA
T_weissflogii,1,5,Zn,8,38.65,60.79,nd,0.56,NA
T_weissflogii,2,1,Zn,8,34.48,64.28,0.49,0.74,NA
T_weissflogii,2,2,Zn,8,35.42,64.24,nd,0.34,NA
T_weissflogii,2,3,Zn,8,36.73,61.56,0.29,1.42,NA
T_weissflogii,2,4,Zn,8,34.5,65.24,nd,0.26,NA
T_weissflogii,2,5,Zn,8,36.19,63.15,nd,0.66,NA
T_weissflogii,3,1,Zn,8,37.59,60.35,0.95,1.11,NA
T_weissflogii,3,2,Zn,8,32.32,66.67,nd,1.01,NA
T_weissflogii,3,3,Zn,8,37.61,60.25,0.74,1.4,NA
T_weissflogii,3,4,Zn,8,39.49,59.78,nd,0.73,NA
T_weissflogii,3,5,Zn,8,35.88,62.34,nd,1.78,NA
T_weissflogii,4,1,Zn,8,35.95,63.73,nd,0.32,NA
T_weissflogii,4,2,Zn,8,35.67,64.33,nd,nd,NA
T_weissflogii,4,3,Zn,8,34.12,65.54,0.34,nd,NA
T_weissflogii,4,4,Zn,8,35.37,64.51,nd,0.12,NA
T_weissflogii,4,5,Zn,8,35.39,64.46,nd,0.15,NA
T_weissflogii,5,1,Zn,8,43.06,56.94,nd,nd,NA
T_weissflogii,5,2,Zn,8,38.83,59.36,0.82,0.99,NA
T_weissflogii,5,3,Zn,8,41.38,57.92,nd,0.7,NA
T_weissflogii,5,4,Zn,8,40.83,58.05,0.48,0.65,NA
T_weissflogii,5,5,Zn,8,38.46,58.87,1.51,1.17,NA
T_weissflogii,1,1,Zn,24,33.42,62.74,1.01,2.83,NA
T_weissflogii,1,2,Zn,24,30.42,67.03,nd,2.55,NA
T_weissflogii,1,3,Zn,24,34.37,64,nd,1.63,NA
T_weissflogii,1,4,Zn,24,35.28,60.43,0.6,3.69,NA
T_weissflogii,1,5,Zn,24,35.6,62.06,nd,2.34,NA
T_weissflogii,2,1,Zn,24,25.36,74.64,nd,nd,NA
T_weissflogii,2,2,Zn,24,27.71,72.29,nd,nd,NA
T_weissflogii,2,3,Zn,24,27.6,71.89,nd,0.51,NA
T_weissflogii,2,4,Zn,24,23.28,75.91,nd,0.81,NA
T_weissflogii,2,5,Zn,24,25.77,74.14,nd,0.09,NA
T_weissflogii,3,1,Zn,24,22.09,68.4,9.51,nd,NA
T_weissflogii,3,2,Zn,24,27.74,71.41,nd,0.85,NA
T_weissflogii,3,3,Zn,24,24.49,73.76,nd,1.76,NA
T_weissflogii,3,4,Zn,24,21.61,75.14,1.24,2.01,NA
T_weissflogii,3,5,Zn,24,60.68,28.74,10.58,nd,NA
T_weissflogii,4,1,Zn,24,30.08,63.44,3.88,2.6,NA
T_weissflogii,4,2,Zn,24,33.19,64.37,nd,2.43,NA
T_weissflogii,4,3,Zn,24,30.94,67.91,nd,1.14,NA
T_weissflogii,4,4,Zn,24,27.31,71.89,nd,0.8,NA
T_weissflogii,4,5,Zn,24,30.08,63.44,3.88,2.6,NA
T_weissflogii,5,1,Zn,24,33.84,64.95,0.88,0.33,NA
T_weissflogii,5,2,Zn,24,36.33,60.91,2.53,0.23,NA
T_weissflogii,5,3,Zn,24,30.15,69.53,nd,0.32,NA
T_weissflogii,5,4,Zn,24,33.55,65.82,0.2,0.44,NA
T_weissflogii,5,5,Zn,24,33.12,64.36,1.89,0.64,NA
T_pseudonana,1,1,control,0,41.37,55.27,nd,3.36,NA
T_pseudonana,1,2,control,0,48.47,50.64,nd,0.89,NA
T_pseudonana,1,3,control,0,55.76,42.21,nd,2.03,NA
T_pseudonana,1,4,control,0,43.65,54.62,nd,1.73,NA
T_pseudonana,1,5,control,0,45.8,52.43,nd,1.77,NA
T_pseudonana,2,1,control,0,20.34,79.66,nd,nd,NA
T_pseudonana,2,2,control,0,27.8,72.2,nd,nd,NA
T_pseudonana,2,3,control,0,28.06,71.53,nd,0.41,NA
T_pseudonana,2,4,control,0,24.7,75.3,nd,nd,NA
T_pseudonana,2,5,control,0,22.02,77.98,nd,nd,NA
T_pseudonana,3,1,control,0,31.25,68.16,nd,0.58,NA
T_pseudonana,3,2,control,0,28.76,70.41,nd,0.84,NA
T_pseudonana,3,3,control,0,28.27,71.17,nd,0.57,NA
T_pseudonana,3,4,control,0,37.99,61.47,nd,0.54,NA
T_pseudonana,3,5,control,0,40.23,58.56,nd,1.21,NA
T_pseudonana,4,1,control,0,23.68,74.67,nd,1.65,NA
T_pseudonana,4,2,control,0,18.93,80.88,nd,0.19,NA
T_pseudonana,4,3,control,0,22.5,75.73,nd,1.77,NA
T_pseudonana,4,4,control,0,31.87,68.13,nd,nd,NA
T_pseudonana,4,5,control,0,26.03,73.75,nd,0.22,NA
T_pseudonana,5,1,control,0,41.94,58.06,nd,nd,NA
T_pseudonana,5,2,control,0,33.78,65.28,nd,0.94,NA
